87359889.4534 87399139.9901 87373600.6513 591.958457987
87610516.0218 87645117.6418 87621226.0518 464.816268152
87787466.7844 87812241.049 87795705.2581 317.089260622
87998724.7245 88034091.2863 88022204.3618 280.869988164
88384755.4815 88429419.6739 88405175.0807 328.527777677
88667628.5731 88703583.4979 88675867.0181 397.990314588
88904013.0663 88932847.6115 88917371.1122 272.138701658
89090554.8596 89141162.4051 89119095.1697 330.705914719
89342121.3549 89374074.7081 89356832.8468 275.860965737
89404498.0497 89429213.3471 89415325.7105 166.841711636
89550965.579 89600984.6109 89570796.6648 459.487069523
90026263.9751 90056922.6942 90036797.3895 406.34158474
90429946.7881 90451660.9176 90438126.3664 309.808637803
90570411.9154 90612722.1203 90579297.6497 233.989247613
90683337.1926 90709876.6832 90691811.0011 247.064437862
90946554.9085 90999633.9211 90957794.4814 672.602959705
91155634.4566 91176524.7644 91161107.1213 109.685976136
91482817.9023 91500236.3105 91490703.2613 171.786451416
91675185.3996 91707021.0901 91684894.9946 641.82096303
92228397.0384 92249758.1703 92236517.8012 217.534060825
92406936.1564 92429533.079 92415704.222 168.204720888
92803910.464 92848810.144 92814149.7009 571.957517195
93125211.1963 93188824.1002 93141335.1004 320.770865623
93381899.1159 93432683.5881 93405025.7604 581.539643031
93597630.2565 93618403.0716 93604338.758 117.506326061
93696492.4045 93717559.474 93703318.6085 203.93233908
93874797.5223 93929583.7356 93891274.5868 651.866275753
94266598.7848 94305614.2019 94285488.5931 558.715583164
95118642.7486 95163896.2288 95133472.2461 525.256533121
95303423.0088 95325314.1919 95316192.8673 158.727761451
95549287.1355 95594540.7859 95571707.9943 810.569772017
96246395.536 96289472.1231 96258694.7276 528.089291659
97208678.7656 97253756.5865 97226509.7993 366.965883237
97423298.8312 97448015.1765 97434833.1232 205.213416753
97612496.7776 97639625.9678 97620205.9357 358.172436
97947992.9852 97968119.2541 97954584.0499 134.880250298
98058157.9251 98091878.3101 98067809.1318 392.780805379
98150491.7673 98180740.0977 98159731.0443 208.454749844
98321212.5139 98355344.9269 98327627.0528 224.706559983
98537247.3822 98560669.3258 98548664.1078 315.356244702
98791181.5883 98816898.7215 98798302.353 322.822638223
99030286.3765 99086075.6176 99036995.2156 455.485916948
99433935.1174 99484369.258 99449059.4706 737.062306768
99996244.6509 100061921.176 100007543.838 1363.6355635
100705447.198 100731635.566 100712980.035 149.294101777
100997403.75 101054370.967 101009526.939 827.818509887
101232570.222 101249578.019 101239338.029 236.521700151
101470444.225 101491159.644 101484686.069 129.211675248
102218789.691 102249039.065 102237445.44 315.635244308
102350674.645 102377216.421 102368624.184 124.731359429
102820129.37 102852556.333 102836431.129 292.047113649
102991915.847 103021400.271 103015162.051 209.989194127
103087902.104 103114561.691 103095670.464 153.323708969
103142869.126 103168233.997 103150578.63 202.942069217
103753156.919 103803180.567 103770400.355 800.902156627
104213021.728 104230147.499 104221260.927 133.661117445
104452252.893 104484974.32 104467495.431 360.163475815
104823546.986 104862035.88 104840790.488 520.247986218
105267758.396 105294418.146 105276939.234 268.015630201
105383166.291 105435308.775 105399880.14 429.605626012
105617807.476 105659474.387 105627282.574 565.155030693
105892762.003 105947552.814 105929544.232 344.461460832
106281711.993 106302368.882 106288833.036 92.5709318979
106833857.146 106884881.409 106862047.025 469.002908279
107050489.54 107092803.761 107064143.088 230.969719527
107320676.663 107359165.514 107329563.237 792.958764548
107682554.094 107728575.895 107689733.976 225.39047509
108037368.979 108053965.054 108045549.313 81.0200492211
108334038.36 108369407.964 108343395.71 785.637695086
108518419.29 108561027.568 108533720.602 258.103812732
108798256.653 108817912.94 108807143.18 156.373206483
108875175.098 108902187.748 108883649.651 412.543812451
109052728.85 109093041.838 109065146.421 620.926403387
109318676.666 109360343.166 109332683.202 185.904544826
109448619.61 109470571.011 109456446.787 163.60044555
109952029.908 109975217.11 109960386.722 250.153342372
110113043.587 110130345.704 110119458.315 132.113404313
110228155.552 110263642.511 110248459.047 516.694186452
110579845.819 110611742.807 110586907.874 324.604762148
110901993.326 110931830.488 110910820.885 361.259764755
111149105.98 111192302.099 111174235.067 269.664467837
111223551.606 111273633.176 111247797.917 357.260409169
112180218.168 112219235.599 112196343.029 489.889429354
112429741.226 112462932.465 112437803.64 385.261658945
113064904.547 113093623.05 113077733.725 234.196252528
113265404.299 113296241.325 113275290.983 248.962938652
